BBLLADNB_00001	K01868	threonyl-tRNA synthetase [EC:6.1.1.3] 
BBLLADNB_03081	K07234	uncharacterized protein involved in
BBLLADNB_03083	K07010	putative glutamine amidotransferase 
BBLLADNB_03088	K01130	arylsulfatase [EC:3.1.6.1]  
BBLLADNB_03090	K00239	succinate dehydrogenase / fumarate
BBLLADNB_03091	K00242	succinate dehydrogenase / fumarate
BBLLADNB_03092	K00241	succinate dehydrogenase / fumarate
BBLLADNB_03093	K03710	GntR family transcriptional regulator
BBLLADNB_03094	K00024	malate dehydrogenase [EC:1.1.1.37] 
BBLLADNB_03095	K01644	citrate lyase subunit beta
BBLLADNB_03097	K07115	23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]
BBLLADNB_03099	K09858	SEC-C motif domain protein
BBLLADNB_03100	K11927	ATP-dependent RNA helicase RhlE
BBLLADNB_03105	K09768	uncharacterized protein  
BBLLADNB_03112	K09774	lipopolysaccharide export system protein
BBLLADNB_03113	K11719	lipopolysaccharide export system protein
BBLLADNB_03114	K06041	arabinose-5-phosphate isomerase [EC:5.3.1.13] 
BBLLADNB_03115	K03455	monovalent cation:H+ antiporter-2, CPA2
BBLLADNB_03117	K03549	KUP system potassium uptake
BBLLADNB_03119	K18189	translational activator of cytochrome
BBLLADNB_03120	K06915	uncharacterized protein  
BBLLADNB_03121	K05785	transcriptional antiterminator RfaH 
BBLLADNB_03122	K07491	putative transposase  
BBLLADNB_03126	K06048	glutamate---cysteine ligase / carboxylate-amine
BBLLADNB_03131	K03656	ATP-dependent DNA helicase Rep
BBLLADNB_03131	K03657	DNA helicase II /
BBLLADNB_03138	K11741	quaternary ammonium compound-resistance protein
BBLLADNB_03145	K08972	putative membrane protein 
BBLLADNB_03146	K01251	adenosylhomocysteinase [EC:3.3.1.1]  
BBLLADNB_03148	K06958	RNase adapter protein RapZ
BBLLADNB_03149	K01451	hippurate hydrolase [EC:3.5.1.32] 
BBLLADNB_03151	K07649	two-component system, OmpR family,
BBLLADNB_03154	K02065	phospholipid/cholesterol/gamma-HCH transport system ATP-binding
BBLLADNB_03156	K03112	DamX protein  
BBLLADNB_03157	K02453	general secretion pathway protein
BBLLADNB_03158	K12284	MSHA biogenesis protein MshN
BBLLADNB_03163	K18911	L-histidine Nalpha-methyltransferase [EC:2.1.1.44] 
BBLLADNB_03166	K01008	selenide, water dikinase [EC:2.7.9.3]
BBLLADNB_03168	K14682	amino-acid N-acetyltransferase [EC:2.3.1.1] 
BBLLADNB_03169	K23753	polyphosphate kinase (ADP) [EC:2.7.4.-]
BBLLADNB_03170	K09761	16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]
BBLLADNB_03172	K01092	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25] 
BBLLADNB_03180	K09978	uncharacterized protein  
BBLLADNB_03190	K01495	GTP cyclohydrolase IA [EC:3.5.4.16]
BBLLADNB_03193	K00768	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21] 
BBLLADNB_03198	K07287	outer membrane protein assembly
BBLLADNB_03199	K01714	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7] 
BBLLADNB_03199	K03517	quinolinate synthase [EC:2.5.1.72] 
BBLLADNB_03201	K03924	MoxR-like ATPase [EC:3.6.3.-] 
BBLLADNB_03204	K02014	iron complex outermembrane recepter
BBLLADNB_03206	K20974	two-component system, sensor histidine
BBLLADNB_03211	K20074	PPM family protein phosphatase
BBLLADNB_03212	K11927	ATP-dependent RNA helicase RhlE
BBLLADNB_03215	K01725	cyanate lyase [EC:4.2.1.104] 
BBLLADNB_03217	K20074	PPM family protein phosphatase
BBLLADNB_03218	K00563	23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]
BBLLADNB_03220	K00383	glutathione reductase (NADPH) [EC:1.8.1.7]
BBLLADNB_03221	K00873	pyruvate kinase [EC:2.7.1.40] 
BBLLADNB_03224	K07220	uncharacterized protein  
BBLLADNB_03228	K12058	conjugal transfer mating pair
BBLLADNB_03230	K12059	conjugal transfer pilus assembly
BBLLADNB_03231	K12060	conjugal transfer pilus assembly
BBLLADNB_03232	K12061	conjugal transfer pilus assembly
BBLLADNB_03233	K03427	type I restriction enzyme
BBLLADNB_03237	K03738	aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5] 
BBLLADNB_03239	K03154	sulfur carrier protein 
BBLLADNB_03242	K07182	CBS domain-containing protein 
BBLLADNB_03244	K14393	cation/acetate symporter  
BBLLADNB_03246	K03431	phosphoglucosamine mutase [EC:5.4.2.10] 
BBLLADNB_03247	K02884	large subunit ribosomal protein
BBLLADNB_03248	K09007	GTP cyclohydrolase IB [EC:3.5.4.16]
BBLLADNB_03249	K01662	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7] 
BBLLADNB_03250	K00795	farnesyl diphosphate synthase [EC:2.5.1.1
BBLLADNB_03251	K03602	exodeoxyribonuclease VII small subunit
BBLLADNB_03253	K01011	thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]
BBLLADNB_03260	K01934	5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2] 
BBLLADNB_03261	K21023	diguanylate cyclase [EC:2.7.7.65] 
BBLLADNB_03262	K14155	cysteine-S-conjugate beta-lyase [EC:4.4.1.13] 
BBLLADNB_03263	K01738	cysteine synthase [EC:2.5.1.47] 
BBLLADNB_03265	K01649	2-isopropylmalate synthase [EC:2.3.3.13] 
BBLLADNB_03266	K06006	periplasmic protein CpxP/Spy 
BBLLADNB_03267	K06006	periplasmic protein CpxP/Spy 
BBLLADNB_03268	K07662	two-component system, OmpR family,
BBLLADNB_03270	K04564	superoxide dismutase, Fe-Mn family
BBLLADNB_03271	K03601	exodeoxyribonuclease VII large subunit
BBLLADNB_03273	K09822	uncharacterized protein  
BBLLADNB_03277	K03701	excinuclease ABC subunit A
BBLLADNB_03278	K03530	DNA-binding protein HU-beta 
BBLLADNB_03282	K03496	chromosome partitioning protein 
BBLLADNB_03283	K07043	uncharacterized protein  
BBLLADNB_03284	K06999	phospholipase/carboxylesterase   
BBLLADNB_03291	K07727	putative transcriptional regulator 
BBLLADNB_03293	K02039	phosphate transport system protein
BBLLADNB_03294	K07657	two-component system, OmpR family,
BBLLADNB_03297	K08276	ecotin   
BBLLADNB_03298	K00963	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9] 
BBLLADNB_03301	K02004	putative ABC transport system
BBLLADNB_03302	K02030	polar amino acid transport
BBLLADNB_03303	K02029	polar amino acid transport
BBLLADNB_03304	K02030	polar amino acid transport
BBLLADNB_03308	K15520	mycothiol synthase [EC:2.3.1.189] 
BBLLADNB_03309	K01692	enoyl-CoA hydratase [EC:4.2.1.17] 
BBLLADNB_03310	K07088	uncharacterized protein  
BBLLADNB_03322	K02434	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B
BBLLADNB_03324	K00762	orotate phosphoribosyltransferase [EC:2.4.2.10] 
BBLLADNB_03325	K01142	exodeoxyribonuclease III [EC:3.1.11.2] 
BBLLADNB_03326	K05594	ElaB protein  
BBLLADNB_03329	K10800	single-strand selective monofunctional uracil
BBLLADNB_03332	K02275	cytochrome c oxidase subunit
BBLLADNB_03333	K02274	cytochrome c oxidase subunit
BBLLADNB_03335	K02258	cytochrome c oxidase assembly
BBLLADNB_03337	K02276	cytochrome c oxidase subunit
BBLLADNB_03339	K14998	surfeit locus 1 family
BBLLADNB_03340	K19342	copper chaperone NosL 
BBLLADNB_03343	K19345	protein NirF  
BBLLADNB_03344	K22225	siroheme decarboxylase [EC:4.1.1.111] 
BBLLADNB_03347	K07289	AsmA protein  
BBLLADNB_03348	K00833	adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62] 
BBLLADNB_03355	K00799	glutathione S-transferase [EC:2.5.1.18] 
BBLLADNB_03358	K11527	two-component system, sensor histidine
BBLLADNB_03359	K02040	phosphate transport system substrate-binding
BBLLADNB_03360	K07814	putative two-component system response
BBLLADNB_03364	K01026	propionate CoA-transferase [EC:2.8.3.1] 
BBLLADNB_03369	K03529	chromosome segregation protein 
BBLLADNB_03370	K09457	7-cyano-7-deazaguanine reductase [EC:1.7.1.13] 
BBLLADNB_03371	K07039	uncharacterized protein  
BBLLADNB_03385	K21645	LysR family transcriptional regulator,
BBLLADNB_03386	K01744	aspartate ammonia-lyase [EC:4.3.1.1] 
BBLLADNB_03389	K06175	tRNA pseudouridine65 synthase [EC:5.4.99.26]
BBLLADNB_03397	K02030	polar amino acid transport
BBLLADNB_03416	K21498	antitoxin HigA-1  
BBLLADNB_03417	K07334	toxin HigB-1  
BBLLADNB_03420	K03734	FAD:protein FMN transferase [EC:2.7.1.180]
BBLLADNB_03421	K02793	mannose PTS system EIIA
BBLLADNB_03422	K02784	phosphocarrier protein HPr 
BBLLADNB_03423	K08483	phosphoenolpyruvate-protein phosphotransferase (PTS system
BBLLADNB_03424	K00641	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]
BBLLADNB_03430	K08963	methylthioribose-1-phosphate isomerase [EC:5.3.1.23] 
BBLLADNB_03431	K01628	L-fuculose-phosphate aldolase [EC:4.1.2.17] 
BBLLADNB_03444	K07497	putative transposase  
BBLLADNB_03447	K00705	4-alpha-glucanotransferase [EC:2.4.1.25]  
BBLLADNB_03450	K00625	phosphate acetyltransferase [EC:2.3.1.8] 
BBLLADNB_03453	K01156	type III restriction enzyme
BBLLADNB_03456	K14534	4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase
BBLLADNB_03465	K00042	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60] 
BBLLADNB_03465	K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31] 
BBLLADNB_03469	K20074	PPM family protein phosphatase
BBLLADNB_03472	K01790	dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13] 
BBLLADNB_03473	K00973	glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24] 
BBLLADNB_03476	K01998	branched-chain amino acid transport
BBLLADNB_03477	K01997	branched-chain amino acid transport
BBLLADNB_03478	K01995	branched-chain amino acid transport
BBLLADNB_03478	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
BBLLADNB_03480	K11073	putrescine transport system substrate-binding
BBLLADNB_03481	K11076	putrescine transport system ATP-binding
BBLLADNB_03481	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
BBLLADNB_03482	K11075	putrescine transport system permease
BBLLADNB_03482	K11071	spermidine/putrescine transport system permease
BBLLADNB_03483	K11074	putrescine transport system permease
BBLLADNB_03483	K11070	spermidine/putrescine transport system permease
BBLLADNB_03485	K07034	uncharacterized protein  
BBLLADNB_03487	K00620	glutamate N-acetyltransferase / amino-acid
BBLLADNB_03488	K09667	protein O-GlcNAc transferase [EC:2.4.1.255]
BBLLADNB_03489	K06195	ApaG protein  
BBLLADNB_03492	K19156	antitoxin PrlF  
BBLLADNB_03493	K07171	mRNA interferase MazF [EC:3.1.-.-]
BBLLADNB_03495	K03088	RNA polymerase sigma-70 factor,
BBLLADNB_03497	K07114	Ca-activated chloride channel homolog
BBLLADNB_03499	K11418	histone deacetylase 11 [EC:3.5.1.98]
BBLLADNB_03503	K06916	cell division protein ZapE
BBLLADNB_03504	K07160	5-oxoprolinase (ATP-hydrolysing) subunit A
BBLLADNB_03507	K01737	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]
BBLLADNB_03511	K22491	MerR family transcriptional regulator,
BBLLADNB_03511	K07037	cyclic-di-AMP phosphodiesterase PgpH [EC:3.1.4.-]
BBLLADNB_03512	K09007	GTP cyclohydrolase IB [EC:3.5.4.16]
BBLLADNB_03513	K06954	uncharacterized protein  
BBLLADNB_03514	K09701	uncharacterized protein  
BBLLADNB_03521	K00344	NADPH:quinone reductase [EC:1.6.5.5] 
BBLLADNB_03522	K07080	uncharacterized protein  
BBLLADNB_03529	K00681	gamma-glutamyltranspeptidase / glutathione hydrolase
BBLLADNB_03532	K02012	iron(III) transport system substrate-binding
BBLLADNB_03534	K19745	acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]
BBLLADNB_03541	K00831	phosphoserine aminotransferase [EC:2.6.1.52] 
BBLLADNB_03544	K06903	uncharacterized protein  
BBLLADNB_03550	K00528	ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
BBLLADNB_03552	K02335	DNA polymerase I [EC:2.7.7.7]
BBLLADNB_03553	K01580	glutamate decarboxylase [EC:4.1.1.15] 
BBLLADNB_03554	K00799	glutathione S-transferase [EC:2.5.1.18] 
BBLLADNB_03556	K14415	tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy
BBLLADNB_03557	K02454	general secretion pathway protein
BBLLADNB_03562	K07588	LAO/AO transport system kinase
BBLLADNB_03563	K14446	crotonyl-CoA carboxylase/reductase [EC:1.3.1.85] 
BBLLADNB_03564	K00344	NADPH:quinone reductase [EC:1.6.5.5] 
BBLLADNB_03566	K02231	adenosylcobinamide kinase / adenosylcobinamide-phosphate
BBLLADNB_03568	K02232	adenosylcobyric acid synthase [EC:6.3.5.10]
BBLLADNB_03569	K02227	adenosylcobinamide-phosphate synthase [EC:6.3.1.10] 
BBLLADNB_03570	K02225	cobalamin biosynthetic protein CobC
BBLLADNB_03571	K03498	trk system potassium uptake
BBLLADNB_03573	K14393	cation/acetate symporter  
BBLLADNB_03575	K04065	hyperosmotically inducible periplasmic protein
BBLLADNB_03576	K03271	D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]
BBLLADNB_03580	K15864	nitrite reductase (NO-forming) /
BBLLADNB_03581	K02303	uroporphyrin-III C-methyltransferase [EC:2.1.1.107] 
BBLLADNB_03585	K18289	itaconate CoA-transferase [EC:2.8.3.- 2.8.3.22]
BBLLADNB_03589	K00240	succinate dehydrogenase / fumarate
BBLLADNB_03590	K09159	antitoxin CptB  
BBLLADNB_03591	K01647	citrate synthase [EC:2.3.3.1] 
BBLLADNB_03592	K00164	2-oxoglutarate dehydrogenase E1 component
BBLLADNB_03593	K01796	alpha-methylacyl-CoA racemase [EC:5.1.99.4] 
BBLLADNB_03597	K13993	HSP20 family protein 
BBLLADNB_03598	K05516	curved DNA-binding protein 
BBLLADNB_03599	K18997	chaperone modulatory protein CbpM
BBLLADNB_03602	K03620	Ni/Fe-hydrogenase 1 B-type cytochrome
BBLLADNB_03604	K07154	serine/threonine-protein kinase HipA [EC:2.7.11.1]
BBLLADNB_03606	K19156	antitoxin PrlF  
BBLLADNB_03607	K02004	putative ABC transport system
BBLLADNB_03608	K02003	putative ABC transport system
BBLLADNB_03613	K07497	putative transposase  
BBLLADNB_03620	K01069	hydroxyacylglutathione hydrolase [EC:3.1.2.6] 
BBLLADNB_03620	K17725	sulfur dioxygenase [EC:1.13.11.18] 
BBLLADNB_03622	K02042	phosphonate transport system permease
BBLLADNB_03627	K15270	S-adenosylmethionine uptake transporter 
BBLLADNB_03628	K23997	ADP-dependent NAD(P)H-hydrate dehydratase /
BBLLADNB_03629	K00625	phosphate acetyltransferase [EC:2.3.1.8] 
BBLLADNB_03629	K00634	phosphate butyryltransferase [EC:2.3.1.19] 
BBLLADNB_03630	K18005	[NiFe] hydrogenase diaphorase moiety
BBLLADNB_03631	K18006	[NiFe] hydrogenase diaphorase moiety
BBLLADNB_03632	K18007	NAD-reducing hydrogenase small subunit
BBLLADNB_03638	K06956	uncharacterized protein  
BBLLADNB_03639	K01779	aspartate racemase [EC:5.1.1.13] 
BBLLADNB_03640	K02044	phosphonate transport system substrate-binding
BBLLADNB_03641	K02041	phosphonate transport system ATP-binding
BBLLADNB_03643	K13590	diguanylate cyclase [EC:2.7.7.65] 
BBLLADNB_03644	K22132	tRNA threonylcarbamoyladenosine dehydratase 
BBLLADNB_03648	K07644	two-component system, OmpR family,
BBLLADNB_03649	K12538	outer membrane protein, protease
BBLLADNB_03649	K12340	outer membrane protein 
BBLLADNB_03656	K10563	formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]
BBLLADNB_03658	K02494	outer membrane lipoprotein LolB
BBLLADNB_03659	K00919	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148] 
BBLLADNB_03667	K07814	putative two-component system response
BBLLADNB_03673	K03787	5'-nucleotidase [EC:3.1.3.5]  
BBLLADNB_03674	K00573	protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77] 
BBLLADNB_03675	K06194	lipoprotein NlpD  
BBLLADNB_03676	K06182	23S rRNA pseudouridine2604 synthase
BBLLADNB_03678	K00075	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98] 
BBLLADNB_03679	K00548	5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13] 
BBLLADNB_03680	K02404	flagellar biosynthesis protein FlhF
BBLLADNB_03681	K04562	flagellar biosynthesis protein FlhG
BBLLADNB_03682	K02405	RNA polymerase sigma factor
BBLLADNB_03683	K02556	chemotaxis protein MotA 
BBLLADNB_03684	K02557	chemotaxis protein MotB 
BBLLADNB_03688	K04751	nitrogen regulatory protein P-II
BBLLADNB_03688	K04752	nitrogen regulatory protein P-II
BBLLADNB_03690	K00384	thioredoxin reductase (NADPH) [EC:1.8.1.9]
BBLLADNB_03691	K10914	CRP/FNR family transcriptional regulator,
BBLLADNB_03694	K08591	acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]
BBLLADNB_03695	K01633	7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8
BBLLADNB_03696	K02014	iron complex outermembrane recepter
BBLLADNB_03699	K02549	O-succinylbenzoate synthase [EC:4.2.1.113] 
BBLLADNB_03706	K07301	cation:H+ antiporter  
BBLLADNB_03708	K11529	glycerate 2-kinase [EC:2.7.1.165] 
BBLLADNB_03709	K00906	isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5
BBLLADNB_03711	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 
BBLLADNB_03712	K01935	dethiobiotin synthetase [EC:6.3.3.3] 
BBLLADNB_03713	K02169	malonyl-CoA O-methyltransferase [EC:2.1.1.197] 
BBLLADNB_03714	K02170	pimeloyl-[acyl-carrier protein] methyl ester
BBLLADNB_03715	K00652	8-amino-7-oxononanoate synthase [EC:2.3.1.47] 
BBLLADNB_03716	K01912	phenylacetate-CoA ligase [EC:6.2.1.30] 
BBLLADNB_03718	K01796	alpha-methylacyl-CoA racemase [EC:5.1.99.4] 
BBLLADNB_03722	K22452	protein-glutamine gamma-glutamyltransferase [EC:2.3.2.13] 
BBLLADNB_03723	K08305	membrane-bound lytic murein transglycosylase
BBLLADNB_03727	K19092	toxin ParE1/3/4  
BBLLADNB_03729	K07497	putative transposase  
BBLLADNB_03730	K01923	phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6] 
BBLLADNB_03732	K01414	oligopeptidase A [EC:3.4.24.70] 
BBLLADNB_03734	K03466	DNA segregation ATPase FtsK/SpoIIIE,
BBLLADNB_03735	K03634	outer membrane lipoprotein carrier
BBLLADNB_03737	K07240	chromate transporter  
BBLLADNB_03738	K06204	DnaK suppressor protein 
BBLLADNB_03741	K02652	type IV pilus assembly
BBLLADNB_03743	K13626	flagellar assembly factor FliW
BBLLADNB_03750	K18138	multidrug efflux pump 
BBLLADNB_03750	K03296	hydrophobic/amphiphilic exporter-1 (mainly G-
BBLLADNB_03752	K02408	flagellar hook-basal body complex
BBLLADNB_03753	K10943	two-component system, response regulator
BBLLADNB_03754	K10942	two-component system, sensor histidine
BBLLADNB_03756	K02194	heme exporter protein B
BBLLADNB_03757	K02195	heme exporter protein C
BBLLADNB_03758	K02196	heme exporter protein D
BBLLADNB_03759	K02197	cytochrome c-type biogenesis protein
BBLLADNB_03763	K05805	CreA protein  
BBLLADNB_03764	K07317	adenine-specific DNA-methyltransferase [EC:2.1.1.72] 
BBLLADNB_03766	K06888	uncharacterized protein  
BBLLADNB_03770	K12548	autoaggregation protein RapA/B/C 
BBLLADNB_03773	K14155	cysteine-S-conjugate beta-lyase [EC:4.4.1.13] 
BBLLADNB_03774	K01409	N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234] 
BBLLADNB_03779	K01154	type I restriction enzyme,
BBLLADNB_03781	K07220	uncharacterized protein  
BBLLADNB_03787	K06199	fluoride exporter  
BBLLADNB_03797	K03179	4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39] 
BBLLADNB_03799	K14393	cation/acetate symporter  
BBLLADNB_03804	K01595	phosphoenolpyruvate carboxylase [EC:4.1.1.31] 
BBLLADNB_03814	K07167	putative transcriptional regulator 
BBLLADNB_03820	K01999	branched-chain amino acid transport
BBLLADNB_03825	K07452	5-methylcytosine-specific restriction enzyme B
BBLLADNB_03827	K18843	antitoxin HicB  
BBLLADNB_03828	K01834	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
BBLLADNB_03829	K03701	excinuclease ABC subunit A
BBLLADNB_03831	K02574	ferredoxin-type protein NapH 
BBLLADNB_03831	K06922	uncharacterized protein  
BBLLADNB_03832	K00873	pyruvate kinase [EC:2.7.1.40] 
BBLLADNB_03835	K19416	modulator of FtsH protease
BBLLADNB_03836	K09008	NADH dehydrogenase [ubiquinone] 1
BBLLADNB_03844	K07058	membrane protein  
BBLLADNB_03846	K02113	F-type H+-transporting ATPase subunit
BBLLADNB_03847	K02111	F-type H+/Na+-transporting ATPase subunit
BBLLADNB_03848	K02115	F-type H+-transporting ATPase subunit
BBLLADNB_03851	K00381	sulfite reductase (NADPH) hemoprotein
BBLLADNB_03854	K03190	urease accessory protein 
BBLLADNB_03855	K01430	urease subunit gamma [EC:3.5.1.5]
BBLLADNB_03856	K01429	urease subunit beta [EC:3.5.1.5]
BBLLADNB_03862	K09812	cell division transport system
BBLLADNB_03863	K09811	cell division transport system
BBLLADNB_03865	K01104	protein-tyrosine phosphatase [EC:3.1.3.48] 
BBLLADNB_03866	K01462	peptide deformylase [EC:3.5.1.88] 
BBLLADNB_03868	K00760	hypoxanthine phosphoribosyltransferase [EC:2.4.2.8] 
BBLLADNB_03869	K02343	DNA polymerase III subunit
BBLLADNB_03870	K09747	uncharacterized protein  
BBLLADNB_03879	K07497	putative transposase  
BBLLADNB_03880	K07483	transposase   
BBLLADNB_03882	K11962	urea transport system ATP-binding
BBLLADNB_03882	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
BBLLADNB_03883	K11961	urea transport system permease
BBLLADNB_03888	K01997	branched-chain amino acid transport
BBLLADNB_03890	K04654	hydrogenase expression/formation protein HypD
BBLLADNB_03891	K04655	hydrogenase expression/formation protein HypE
BBLLADNB_03899	K00154	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68] 
BBLLADNB_03900	K07493	putative transposase  
BBLLADNB_03902	K00954	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3] 
BBLLADNB_03903	K08316	16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]
BBLLADNB_03904	K07263	zinc protease [EC:3.4.24.-] 
BBLLADNB_03906	K07495	putative transposase  
BBLLADNB_03908	K07133	uncharacterized protein  
BBLLADNB_03911	K03821	polyhydroxyalkanoate synthase subunit PhaC
BBLLADNB_03917	K03205	type IV secretion system
